Age,Gender,English,Model,Personality condition,Condition,Own personality,Condition and own personality,Personality matching,Extraversion,Fluency,Godspeed anthropomorphism,Godspeed likeability,Godspeed safety,RoSAS warmth,RoSAS discomfort
30,female,med,GPT-3,Ext,GPT-3 Ext,Int,GPT-3 Ext Int,False,4.6000000000000005,5.666666666666667,2.6,5.0,3.0,2.0,0.5
19,female,med,STRAP,Ext,STRAP Ext,Int,STRAP Ext Int,False,4.5,5.333333333333333,2.2,4.4,3.0,1.6666666666666667,1.3333333333333333
21,female,med,STRAP,Int,STRAP Int,Ext,STRAP Int Ext,False,2.2,5.666666666666667,2.2,4.0,2.3333333333333335,1.3333333333333333,2.3333333333333335
29,female,med,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,2.6999999999999997,4.0,2.6,3.2,3.0,2.6666666666666665,0.8333333333333334
24,female,med,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,2.8000000000000003,5.333333333333333,2.6,2.2,2.3333333333333335,1.6666666666666667,1.6666666666666667
25,female,med,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,4.699999999999999,4.0,2.6,3.6,2.6666666666666665,2.1666666666666665,1.8333333333333333
64,female,high,STRAP,Int,STRAP Int,Int,STRAP Int Int,True,2.9,5.0,3.4,3.6,2.3333333333333335,1.6666666666666667,0.0
23,female,med,GPT-3,Int,GPT-3 Int,Int,GPT-3 Int Int,True,3.4,4.333333333333333,3.6,4.0,2.6666666666666665,3.5,0.5
25,female,high,GPT-3,Ext,GPT-3 Ext,Int,GPT-3 Ext Int,False,2.8000000000000003,5.0,2.2,3.4,4.333333333333333,1.8333333333333333,0.5
19,female,high,STRAP,Int,STRAP Int,Ext,STRAP Int Ext,False,3.3999999999999995,6.0,1.4,2.8,2.0,2.1666666666666665,2.1666666666666665
22,female,med,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,2.5,4.0,1.0,1.0,2.6666666666666665,0.16666666666666666,3.6666666666666665
25,female,med,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,4.300000000000001,5.0,1.4,3.0,3.0,4.0,2.0
21,female,med,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,3.6,4.0,1.8,3.6,2.0,1.8333333333333333,2.3333333333333335
23,female,med,STRAP,Ext,STRAP Ext,Int,STRAP Ext Int,False,4.3,5.333333333333333,3.2,5.0,3.3333333333333335,3.5,0.16666666666666666
31,male,med,STRAP,Int,STRAP Int,Ext,STRAP Int Ext,False,3.6,2.6666666666666665,1.4,3.2,2.6666666666666665,1.6666666666666667,2.5
40,male,high,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,3.2,5.0,3.0,4.8,2.6666666666666665,2.5,0.16666666666666666
37,male,med,GPT-3,Ext,GPT-3 Ext,Int,GPT-3 Ext Int,False,6.0,6.0,1.8,4.6,2.3333333333333335,1.6666666666666667,1.0
22,male,med,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,3.0000000000000004,4.0,2.8,3.6,3.0,2.0,1.5
24,male,med,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,2.3,4.333333333333333,3.2,3.4,2.0,1.8333333333333333,0.3333333333333333
40,male,med,GPT-3,Ext,GPT-3 Ext,Int,GPT-3 Ext Int,False,4.6000000000000005,6.0,1.8,3.6,2.6666666666666665,2.5,1.0
21,male,med,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,3.1,6.0,2.6,4.0,3.3333333333333335,1.6666666666666667,1.6666666666666667
25,male,med,STRAP,Int,STRAP Int,Ext,STRAP Int Ext,False,3.8000000000000003,3.0,2.0,3.6,3.0,1.1666666666666667,1.1666666666666667
25,male,med,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,2.8,5.333333333333333,1.8,4.6,2.3333333333333335,0.0,0.3333333333333333
45,male,med,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,2.1,3.6666666666666665,1.8,3.8,2.6666666666666665,1.8333333333333333,0.3333333333333333
27,male,med,STRAP,Int,STRAP Int,Int,STRAP Int Int,True,2.8,4.0,2.4,2.8,1.6666666666666667,1.6666666666666667,2.1666666666666665
21,male,med,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,3.5,5.0,3.4,4.4,2.3333333333333335,2.0,1.3333333333333333
20,male,high,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,3.1999999999999997,5.0,2.4,4.6,3.0,1.1666666666666667,1.3333333333333333
23,male,med,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,4.5,5.666666666666667,3.2,4.6,3.0,3.0,0.3333333333333333
24,male,med,STRAP,Int,STRAP Int,Ext,STRAP Int Ext,False,4.9,5.0,2.8,3.6,2.3333333333333335,2.1666666666666665,2.0
57,male,med,GPT-3,Int,GPT-3 Int,Int,GPT-3 Int Int,True,3.0999999999999996,4.0,1.0,2.2,2.0,1.0,2.1666666666666665
25,male,med,GPT-3,Ext,GPT-3 Ext,Int,GPT-3 Ext Int,False,5.199999999999999,6.0,2.8,5.0,3.0,2.3333333333333335,0.5
37,male,med,STRAP,Ext,STRAP Ext,Int,STRAP Ext Int,False,4.1,5.666666666666667,3.6,4.6,3.0,3.3333333333333335,0.16666666666666666
53,male,med,STRAP,Int,STRAP Int,Int,STRAP Int Int,True,2.9000000000000004,4.666666666666667,2.8,3.2,2.3333333333333335,1.8333333333333333,1.3333333333333333
22,male,med,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,4.9,5.333333333333333,2.4,2.6,2.6666666666666665,2.6666666666666665,2.5
26,male,med,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,3.5999999999999996,4.0,2.2,3.4,3.0,1.6666666666666667,2.1666666666666665
23,male,med,STRAP,Int,STRAP Int,Int,STRAP Int Int,True,4.1,3.0,1.8,3.4,2.6666666666666665,0.5,2.0
37,other,high,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,2.5999999999999996,3.0,1.0,2.0,2.0,0.8333333333333334,2.6666666666666665
31,male,high,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,3.9000000000000004,5.333333333333333,3.6,4.0,3.3333333333333335,2.5,1.1666666666666667
21,male,med,STRAP,Int,STRAP Int,Int,STRAP Int Int,True,4.7,6.0,1.2,3.6,3.0,1.1666666666666667,1.1666666666666667
29,male,high,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,2.5999999999999996,1.3333333333333333,3.4,3.6,3.3333333333333335,2.3333333333333335,1.3333333333333333
25,male,med,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,5.3,6.0,2.6,4.0,2.6666666666666665,0.3333333333333333,2.0
25,male,med,STRAP,Int,STRAP Int,Int,STRAP Int Int,True,3.3,3.3333333333333335,2.0,3.2,3.0,1.0,1.5
31,male,med,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,3.0,3.0,1.0,3.0,3.0,1.0,1.0
26,male,med,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,3.5000000000000004,5.666666666666667,2.4,2.8,2.6666666666666665,1.1666666666666667,1.8333333333333333
30,male,med,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,3.4000000000000004,6.0,2.2,3.4,3.3333333333333335,1.3333333333333333,2.0
30,male,high,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,2.6,6.0,3.6,4.8,2.6666666666666665,3.3333333333333335,0.3333333333333333
33,male,med,STRAP,Ext,STRAP Ext,Int,STRAP Ext Int,False,4.8,5.333333333333333,2.0,3.6,2.6666666666666665,2.6666666666666665,1.5
24,male,med,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,4.5,5.666666666666667,3.8,5.0,2.3333333333333335,4.0,0.0
43,male,med,GPT-3,Ext,GPT-3 Ext,Int,GPT-3 Ext Int,False,3.5,4.0,1.8,3.0,3.3333333333333335,2.0,1.8333333333333333
32,male,med,GPT-3,Int,GPT-3 Int,Int,GPT-3 Int Int,True,3.8,3.6666666666666665,1.4,3.0,3.3333333333333335,1.0,1.6666666666666667
22,male,med,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,3.0999999999999996,3.6666666666666665,1.6,2.8,2.3333333333333335,1.0,1.8333333333333333
37,male,med,STRAP,Int,STRAP Int,Int,STRAP Int Int,True,3.5000000000000004,3.0,2.6,5.0,2.6666666666666665,2.1666666666666665,0.3333333333333333
23,male,med,GPT-3,Ext,GPT-3 Ext,Int,GPT-3 Ext Int,False,4.6000000000000005,4.666666666666667,1.8,2.6,1.6666666666666667,1.5,1.1666666666666667
21,male,med,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,3.8,5.333333333333333,1.6,3.8,2.0,2.1666666666666665,1.3333333333333333
32,male,med,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,3.8000000000000003,6.0,3.6,4.2,2.6666666666666665,2.0,0.0
27,male,med,GPT-3,Int,GPT-3 Int,Int,GPT-3 Int Int,True,4.2,6.0,1.0,3.4,2.0,1.1666666666666667,2.6666666666666665
21,female,med,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,5.0,4.666666666666667,2.0,3.2,1.6666666666666667,1.5,1.0
27,male,med,STRAP,Int,STRAP Int,Ext,STRAP Int Ext,False,0.5,5.333333333333333,1.6,3.4,2.6666666666666665,0.8333333333333334,1.6666666666666667
38,male,med,GPT-3,Int,GPT-3 Int,Int,GPT-3 Int Int,True,3.5999999999999996,6.0,2.8,3.8,2.6666666666666665,1.3333333333333333,1.0
23,male,med,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,4.7,5.0,1.4,2.6,2.6666666666666665,1.8333333333333333,2.8333333333333335
38,male,med,STRAP,Int,STRAP Int,Ext,STRAP Int Ext,False,3.5,5.0,2.2,3.4,2.0,2.1666666666666665,0.5
23,non-binary,med,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,4.8,5.333333333333333,1.6,3.8,2.3333333333333335,1.0,2.1666666666666665
29,female,high,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,3.8000000000000003,4.333333333333333,3.0,3.6,2.3333333333333335,2.5,2.5
27,female,high,STRAP,Int,STRAP Int,Int,STRAP Int Int,True,1.5,4.666666666666667,2.4,3.8,2.3333333333333335,2.6666666666666665,1.5
24,male,med,GPT-3,Ext,GPT-3 Ext,Int,GPT-3 Ext Int,False,3.9000000000000004,5.666666666666667,2.6,3.0,2.6666666666666665,1.8333333333333333,1.3333333333333333
28,male,med,GPT-3,Int,GPT-3 Int,Int,GPT-3 Int Int,True,4.3999999999999995,5.666666666666667,2.2,3.8,2.6666666666666665,1.6666666666666667,1.1666666666666667
24,female,med,STRAP,Ext,STRAP Ext,Int,STRAP Ext Int,False,4.6,5.0,3.4,3.8,3.0,3.3333333333333335,0.0
46,female,high,STRAP,Int,STRAP Int,Ext,STRAP Int Ext,False,1.5,5.333333333333333,3.2,3.2,2.3333333333333335,2.0,0.5
23,male,med,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,4.3,5.0,2.2,3.6,2.6666666666666665,0.5,1.0
24,female,high,STRAP,Ext,STRAP Ext,Int,STRAP Ext Int,False,2.8,4.0,2.0,3.2,2.6666666666666665,2.3333333333333335,1.8333333333333333
21,female,med,STRAP,Int,STRAP Int,Int,STRAP Int Int,True,5.2,5.666666666666667,1.8,3.6,3.3333333333333335,1.8333333333333333,1.1666666666666667
31,female,high,GPT-3,Ext,GPT-3 Ext,Ext,GPT-3 Ext Ext,True,3.6,6.0,2.6,3.2,1.6666666666666667,2.1666666666666665,2.0
21,female,med,GPT-3,Int,GPT-3 Int,Int,GPT-3 Int Int,True,4.2,6.0,3.0,4.0,2.6666666666666665,2.6666666666666665,0.6666666666666666
24,female,med,STRAP,Int,STRAP Int,Ext,STRAP Int Ext,False,2.8,5.333333333333333,2.2,3.8,2.3333333333333335,2.0,2.1666666666666665
25,male,med,GPT-3,Ext,GPT-3 Ext,Int,GPT-3 Ext Int,False,4.300000000000001,4.666666666666667,2.2,2.6,2.6666666666666665,1.6666666666666667,2.0
21,female,med,GPT-3,Int,GPT-3 Int,Int,GPT-3 Int Int,True,3.1999999999999997,4.666666666666667,2.0,3.6,2.0,1.8333333333333333,1.3333333333333333
31,male,med,STRAP,Ext,STRAP Ext,Int,STRAP Ext Int,False,3.3000000000000003,5.666666666666667,2.0,2.6,2.6666666666666665,1.8333333333333333,2.6666666666666665
23,female,med,STRAP,Int,STRAP Int,Int,STRAP Int Int,True,3.9,4.333333333333333,1.6,2.0,3.3333333333333335,0.8333333333333334,1.1666666666666667
24,female,med,GPT-3,Ext,GPT-3 Ext,Int,GPT-3 Ext Int,False,3.8,6.0,1.6,4.0,3.0,1.1666666666666667,0.16666666666666666
31,male,med,STRAP,Int,STRAP Int,Int,STRAP Int Int,True,5.0,5.333333333333333,2.6,3.6,2.6666666666666665,0.6666666666666666,2.3333333333333335
24,male,med,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,3.1,6.0,1.2,3.0,2.3333333333333335,0.16666666666666666,1.6666666666666667
25,male,med,GPT-3,Int,GPT-3 Int,Ext,GPT-3 Int Ext,False,3.6999999999999997,4.666666666666667,1.8,3.0,3.3333333333333335,2.0,2.1666666666666665
30,female,med,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,3.8999999999999995,3.3333333333333335,2.2,5.0,3.0,3.3333333333333335,0.8333333333333334
21,female,med,STRAP,Ext,STRAP Ext,Ext,STRAP Ext Ext,True,4.0,5.666666666666667,2.8,4.4,3.6666666666666665,1.5,0.0
54,female,med,STRAP,Int,STRAP Int,Ext,STRAP Int Ext,False,4.1,4.0,1.4,2.8,2.6666666666666665,0.16666666666666666,1.3333333333333333
26,female,med,Expert,Int,Expert Int,Int,Expert Int Int,True,3.3,6.0,2.2,3.8,2.3333333333333335,2.6666666666666665,1.1666666666666667
25,female,med,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,5.7,5.666666666666667,3.2,4.8,2.6666666666666665,3.5,0.16666666666666666
22,female,med,Expert,Int,Expert Int,Ext,Expert Int Ext,False,2.6000000000000005,4.333333333333333,3.2,4.2,2.3333333333333335,2.0,0.5
24,female,med,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,4.3,5.666666666666667,2.4,3.4,3.3333333333333335,2.5,0.8333333333333334
40,male,med,Expert,Int,Expert Int,Int,Expert Int Int,True,3.6999999999999997,4.0,2.8,3.2,3.0,2.0,1.1666666666666667
21,male,med,Expert,Int,Expert Int,Int,Expert Int Int,True,5.2,5.333333333333333,2.8,4.0,3.3333333333333335,2.5,0.0
25,male,med,Expert,Ext,Expert Ext,Int,Expert Ext Int,False,5.1,5.333333333333333,1.8,4.0,2.3333333333333335,2.5,0.0
20,female,med,Expert,Int,Expert Int,Int,Expert Int Int,True,4.4,5.666666666666667,3.6,2.8,2.6666666666666665,2.1666666666666665,2.3333333333333335
24,male,high,Expert,Ext,Expert Ext,Int,Expert Ext Int,False,3.9999999999999996,3.0,1.6,2.6,1.6666666666666667,2.0,1.8333333333333333
26,male,med,Expert,Int,Expert Int,Int,Expert Int Int,True,3.0,5.0,1.0,2.6,3.0,2.0,2.5
27,female,high,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,4.199999999999999,6.0,2.0,2.4,2.3333333333333335,1.5,2.8333333333333335
21,male,med,Expert,Int,Expert Int,Ext,Expert Int Ext,False,3.0999999999999996,2.6666666666666665,2.6,3.8,1.3333333333333333,1.6666666666666667,0.0
21,non-binary,med,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,3.0999999999999996,6.0,1.2,2.4,2.3333333333333335,1.0,1.8333333333333333
28,male,med,Expert,Int,Expert Int,Int,Expert Int Int,True,3.5,4.333333333333333,1.8,3.2,2.3333333333333335,1.6666666666666667,1.1666666666666667
19,female,med,Expert,Int,Expert Int,Int,Expert Int Int,True,2.4000000000000004,3.6666666666666665,3.0,3.0,3.6666666666666665,2.1666666666666665,2.3333333333333335
60,male,med,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,4.9,5.666666666666667,1.8,4.4,2.6666666666666665,2.1666666666666665,1.3333333333333333
24,female,med,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,5.0,4.333333333333333,2.6,4.0,2.6666666666666665,3.3333333333333335,0.3333333333333333
20,female,med,Expert,Int,Expert Int,Int,Expert Int Int,True,3.1999999999999997,3.6666666666666665,2.0,2.6,2.3333333333333335,1.0,2.6666666666666665
25,male,med,Expert,Ext,Expert Ext,Int,Expert Ext Int,False,4.5,5.333333333333333,2.2,3.2,2.6666666666666665,2.0,1.6666666666666667
29,female,med,Expert,Int,Expert Int,Int,Expert Int Int,True,4.8,5.666666666666667,1.8,3.2,2.6666666666666665,1.6666666666666667,2.1666666666666665
23,female,med,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,4.3999999999999995,3.3333333333333335,2.0,4.6,3.3333333333333335,1.6666666666666667,0.3333333333333333
20,male,med,Expert,Int,Expert Int,Ext,Expert Int Ext,False,3.6999999999999997,6.0,1.6,2.6,1.6666666666666667,0.5,2.5
29,male,med,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,4.5,6.0,2.6,4.6,3.0,1.5,1.6666666666666667
20,male,med,Expert,Int,Expert Int,Ext,Expert Int Ext,False,4.9,5.666666666666667,2.2,3.8,2.6666666666666665,2.0,1.6666666666666667
22,female,med,Expert,Ext,Expert Ext,Int,Expert Ext Int,False,4.0,6.0,1.6,3.2,3.0,2.3333333333333335,1.3333333333333333
33,male,med,Expert,Int,Expert Int,Int,Expert Int Int,True,3.4,5.666666666666667,4.2,1.4,2.6666666666666665,0.5,1.5
39,male,med,Expert,Ext,Expert Ext,Int,Expert Ext Int,False,4.0,5.0,1.8,3.0,3.3333333333333335,1.1666666666666667,1.1666666666666667
23,female,high,Expert,Int,Expert Int,Ext,Expert Int Ext,False,4.2,6.0,4.0,5.0,2.3333333333333335,3.0,0.0
25,female,high,Expert,Int,Expert Int,Ext,Expert Int Ext,False,4.5,5.0,3.2,4.8,3.0,2.6666666666666665,1.1666666666666667
37,female,high,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,5.0,5.0,2.2,4.4,2.3333333333333335,2.0,0.0
25,female,med,Expert,Int,Expert Int,Int,Expert Int Int,True,4.699999999999999,5.333333333333333,2.4,4.0,3.0,2.1666666666666665,1.0
23,male,med,Expert,Int,Expert Int,Int,Expert Int Int,True,2.6,3.6666666666666665,1.6,3.2,2.6666666666666665,1.3333333333333333,1.6666666666666667
23,female,med,Expert,Ext,Expert Ext,Int,Expert Ext Int,False,2.0999999999999996,5.666666666666667,2.4,4.2,2.3333333333333335,2.1666666666666665,2.1666666666666665
22,male,med,Expert,Int,Expert Int,Int,Expert Int Int,True,5.1,5.0,3.6,5.0,3.3333333333333335,2.8333333333333335,0.0
26,male,high,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,3.6,4.666666666666667,1.8,3.4,3.0,1.8333333333333333,2.0
28,male,high,Expert,Int,Expert Int,Int,Expert Int Int,True,3.5,3.6666666666666665,2.2,3.4,3.0,2.3333333333333335,1.5
22,male,med,Expert,Ext,Expert Ext,Int,Expert Ext Int,False,3.9,4.666666666666667,2.6,2.2,2.6666666666666665,1.3333333333333333,2.6666666666666665
23,male,med,Expert,Int,Expert Int,Int,Expert Int Int,True,4.2,4.0,2.2,2.4,2.6666666666666665,1.3333333333333333,0.5
20,female,med,Expert,Ext,Expert Ext,Int,Expert Ext Int,False,4.6,5.0,2.0,3.6,2.6666666666666665,2.0,1.0
39,male,high,Expert,Int,Expert Int,Ext,Expert Int Ext,False,4.1,3.3333333333333335,1.4,3.4,3.0,0.5,2.1666666666666665
19,female,med,Expert,Int,Expert Int,Ext,Expert Int Ext,False,3.4000000000000004,5.666666666666667,1.6,2.4,3.0,1.6666666666666667,2.5
27,male,med,Expert,Ext,Expert Ext,Int,Expert Ext Int,False,4.9,5.666666666666667,3.2,3.0,3.0,1.5,2.3333333333333335
30,male,med,Expert,Int,Expert Int,Ext,Expert Int Ext,False,3.4,3.6666666666666665,3.2,4.0,4.0,2.6666666666666665,2.3333333333333335
36,female,med,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,5.3,5.666666666666667,3.6,4.2,2.6666666666666665,2.8333333333333335,0.0
22,male,high,Expert,Int,Expert Int,Ext,Expert Int Ext,False,2.9000000000000004,5.666666666666667,2.2,5.0,2.6666666666666665,2.5,0.6666666666666666
23,female,med,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,4.0,6.0,1.8,2.8,2.6666666666666665,2.0,1.1666666666666667
22,male,med,Expert,Int,Expert Int,Int,Expert Int Int,True,4.6,5.0,1.4,2.4,3.0,1.3333333333333333,2.1666666666666665
22,female,med,Expert,Ext,Expert Ext,Int,Expert Ext Int,False,2.0,6.0,3.2,3.6,2.3333333333333335,0.6666666666666666,2.5
20,male,med,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,3.6999999999999997,5.333333333333333,1.8,4.2,2.0,1.1666666666666667,1.3333333333333333
25,male,med,Expert,Ext,Expert Ext,Int,Expert Ext Int,False,4.6,5.0,2.0,4.4,3.0,2.5,0.3333333333333333
21,female,high,Expert,Int,Expert Int,Ext,Expert Int Ext,False,4.2,6.0,4.0,1.0,3.0,2.0,1.5
30,female,high,Expert,Int,Expert Int,Int,Expert Int Int,True,3.8000000000000003,4.666666666666667,1.8,3.4,2.3333333333333335,1.8333333333333333,2.3333333333333335
20,male,med,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,4.9,5.333333333333333,2.0,3.2,2.6666666666666665,2.3333333333333335,0.6666666666666666
33,female,none,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,2.2,2.0,2.0,3.2,4.0,0.6666666666666666,0.8333333333333334
26,female,high,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,3.9000000000000004,6.0,2.0,4.4,2.0,1.6666666666666667,0.16666666666666666
25,male,med,Expert,Ext,Expert Ext,Ext,Expert Ext Ext,True,4.3999999999999995,5.666666666666667,1.8,3.8,2.3333333333333335,1.1666666666666667,0.6666666666666666
25,male,high,Expert,Int,Expert Int,Int,Expert Int Int,True,4.7,4.0,1.4,3.0,2.3333333333333335,0.8333333333333334,2.0
